Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric,238.252,-58.42,90,bottom
C2,22pF,C_0805_2012Metric,229.997,-58.4985,270,bottom
C3,1uF,C_0805_2012Metric,193.3725,-55.118,180,bottom
C4,10uF,C_0805_2012Metric,196.342,-54.4045,270,bottom
C5,0.1uF,C_0805_2012Metric,212.979,-63.6755,90,bottom
C6,0.1uF,C_0805_2012Metric,191.897,-63.5485,270,bottom
C7,0.1uF,C_0805_2012Metric,209.296,-52.7835,270,bottom
C8,0.1uF,C_0805_2012Metric,145.034,-52.6265,270,bottom
C9,0.1uF,C_0805_2012Metric,214.376,-53.8965,270,bottom
C10,0.1uF,C_0805_2012Metric,278.511,-52.6265,270,bottom
C11,0.1uF,C_0805_2012Metric,341.63,-52.6265,270,bottom
C12,0.1uF,C_0805_2012Metric,371.9345,-70.739,180,bottom
C13,0.1uF,C_0805_2012Metric,371.9345,-125.349,180,bottom
C14,0.1uF,C_0805_2012Metric,351.917,-152.6055,90,bottom
C15,0.1uF,C_0805_2012Metric,289.306,-152.6055,90,bottom
C16,0.1uF,C_0805_2012Metric,222.563083,-159.413013,102,bottom
C17,0.1uF,C_0805_2012Metric,162.119917,-162.531987,78,bottom
C18,0.1uF,C_0805_2012Metric,80.391,-152.4785,90,bottom
C19,0.1uF,C_0805_2012Metric,37.6405,-135.509,0,bottom
C20,0.1uF,C_0805_2012Metric,37.6405,-80.645,0,bottom
C21,0.1uF,C_0805_2012Metric,68.961,-52.6265,270,bottom
D2,D_Small,D_SOD-123,62.23,-68.58,90,bottom
D3,D_Small,D_SOD-123,100.33,-67.056,90,bottom
D4,D_Small,D_SOD-123,138.086946,-76.2,78,bottom
D5,D_Small,D_SOD-123,175.387,-84.111056,78,bottom
D6,D_Small,D_SOD-123,223.811946,-78.067944,102,bottom
D7,D_Small,D_SOD-123,261.074054,-70.141056,102,bottom
D8,D_Small,D_SOD-123,299.466,-68.581,90,bottom
D9,D_Small,D_SOD-123,338.963,-68.325,90,bottom
D10,D_Small,D_SOD-123,81.28,-68.58,90,bottom
D11,D_Small,D_SOD-123,119.469054,-72.225944,78,bottom
D12,D_Small,D_SOD-123,156.718,-80.137,78,bottom
D13,D_Small,D_SOD-123,205.194054,-82.004944,102,bottom
D14,D_Small,D_SOD-123,242.480946,-74.078056,102,bottom
D15,D_Small,D_SOD-123,280.416,-67.057,90,bottom
D16,D_Small,D_SOD-123,318.516,-68.579,90,bottom
D17,D_Small,D_SOD-123,361.442,-63.755,90,bottom
D18,D_Small,D_SOD-123,62.738,-87.63,90,bottom
D19,D_Small,D_SOD-123,106.172,-88.9,78,bottom
D20,D_Small,D_SOD-123,143.383,-96.774,78,bottom
D21,D_Small,D_SOD-123,199.771,-102.616,102,bottom
D22,D_Small,D_SOD-123,237.109,-94.704944,102,bottom
D23,D_Small,D_SOD-123,274.32,-86.830944,102,bottom
D24,D_Small,D_SOD-123,313.182,-87.63,90,bottom
D25,D_Small,D_SOD-123,365.506,-82.804,90,bottom
D26,D_Small,D_SOD-123,86.614,-87.63,90,bottom
D27,D_Small,D_SOD-123,124.841,-92.837,78,bottom
D28,D_Small,D_SOD-123,162.052,-100.711,78,bottom
D29,D_Small,D_SOD-123,218.44,-98.679,102,bottom
D30,D_Small,D_SOD-123,255.740054,-90.767944,102,bottom
D31,D_Small,D_SOD-123,294.132,-87.63,90,bottom
D32,D_Small,D_SOD-123,337.058,-87.629,90,bottom
D33,D_Small,D_SOD-123,61.087,-106.68,90,bottom
D34,D_Small,D_SOD-123,106.844946,-108.495056,78,bottom
D35,D_Small,D_SOD-123,144.107054,-116.459,78,bottom
D36,D_Small,D_SOD-123,208.444946,-120.269,102,bottom
D37,D_Small,D_SOD-123,245.707054,-112.357944,102,bottom
D38,D_Small,D_SOD-123,284.099,-106.68,90,bottom
D39,D_Small,D_SOD-123,87.376,-106.68,90,bottom
D40,D_Small,D_SOD-123,125.513946,-112.432056,78,bottom
D41,D_Small,D_SOD-123,162.776054,-120.433056,78,bottom
D42,D_Small,D_SOD-123,227.076,-116.332,102,bottom
D43,D_Small,D_SOD-123,264.324946,-108.368056,102,bottom
D44,D_Small,D_SOD-123,303.149,-106.68,90,bottom
D45,D_Small,D_SOD-123,334.264,-106.68,90,bottom
D46,D_Small,D_SOD-123,369.824,-101.855,90,bottom
D47,D_Small,D_SOD-123,61.722,-125.73,90,bottom
D48,D_Small,D_SOD-123,112.178946,-129.121944,78,bottom
D49,D_Small,D_SOD-123,149.516946,-137.033,78,bottom
D50,D_Small,D_SOD-123,217.043,-137.922,102,bottom
D51,D_Small,D_SOD-123,254.343054,-130.010944,102,bottom
D52,D_Small,D_SOD-123,293.624,-125.729,90,bottom
D53,D_Small,D_SOD-123,92.71,-125.73,90,bottom
D54,D_Small,D_SOD-123,130.847946,-133.058944,78,bottom
D55,D_Small,D_SOD-123,168.110054,-141.007056,78,bottom
D56,D_Small,D_SOD-123,235.674054,-133.947944,102,bottom
D57,D_Small,D_SOD-123,272.960946,-126.021056,102,bottom
D58,D_Small,D_SOD-123,319.786,-125.73,90,bottom
D59,D_Small,D_SOD-123,350.774,-130.429,90,bottom
D60,D_Small,D_SOD-123,54.61,-144.779,90,bottom
D61,D_Small,D_SOD-123,112.940946,-148.754056,78,bottom
D62,D_Small,D_SOD-123,149.008946,-152.616944,78,bottom
D63,D_Small,D_SOD-123,267.589,-146.647944,102,bottom
D64,D_Small,D_SOD-123,173.444054,-161.581056,78,bottom
D65,D_Small,D_SOD-123,228.002946,-155.029944,102,bottom
D66,D_Small,D_SOD-123,331.724,-149.478,90,bottom
D67,D_Small,D_SOD-123,353.187,-148.335,90,bottom
D68,D_Small,D_SOD-123,369.824,-149.48,90,bottom
D69,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,219.202,-53.213,180,bottom
D70,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,283.464,-53.213,180,bottom
D71,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,346.837,-53.213,180,bottom
D72,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,371.348,-75.565,90,bottom
D73,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,371.348,-130.302,90,bottom
D74,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,346.837,-152.019,0,bottom
D75,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,284.226,-152.019,0,bottom
D76,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,217.551,-159.893,12,bottom
D77,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,157.226,-160.909,348,bottom
D78,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,75.311,-152.019,0,bottom
D79,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,38.227,-130.429,270,bottom
D80,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,38.227,-75.565,270,bottom
D81,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,74.041,-53.213,180,bottom
D82,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,150.114,-53.213,180,bottom
R1,10k,R_0805_2012Metric,171.577,-58.166,270,bottom
R2,10k,R_0805_2012Metric,192.5805,-66.421,0,bottom
R3,5.1k,R_0805_2012Metric,184.404,-70.104,270,bottom
R4,5.1k,R_0805_2012Metric,186.436,-70.104,270,bottom
R5,22,R_0805_2012Metric,187.4035,-64.135,0,bottom
R6,22,R_0805_2012Metric,187.4035,-66.167,0,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,203.2,-60.706,315,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,234.135,-59.048,180,bottom